asvID,Kingdom,Phylum,Class,Order,Family,Genus,Species
asv2149,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
asv2150,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
asv2153,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
asv2154,Bacteria,Patescibacteria,Gracilibacteria,NA,NA,NA,NA
asv2157,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,NA
asv2158,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
asv2160,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
asv2161,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,NA
asv2162,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,NA
asv2163,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
asv2164,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,NA
asv2165,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
asv2167,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,NA
asv2168,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,NA,NA,NA
asv2169,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
asv2170,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
asv2172,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,appendicis
asv2173,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
asv2174,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,NA
asv2175,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,cvE6,NA,NA
asv2176,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
asv2177,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
asv2178,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
asv2179,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
asv2180,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
asv2182,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,NA
asv2183,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,NA
asv2185,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus Captivus,NA
asv2186,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA
asv2187,Bacteria,SAR324 clade(Marine group B),NA,NA,NA,NA,NA
asv2189,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,NA
asv2190,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
asv2191,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
asv2192,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
asv2193,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,NA
asv2194,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
asv2195,Bacteria,Patescibacteria,Parcubacteria,NA,NA,NA,NA
asv2197,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
asv2198,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
asv2199,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
asv2200,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
asv2201,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,NA
asv2202,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA
asv2203,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
asv2204,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,NA
asv2206,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,NA
asv2207,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,NA,NA
asv2208,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA
asv2210,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,NA
asv2211,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,NA,NA
asv2212,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,NA
asv2213,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,NA,NA
asv2215,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,NA
asv2217,Bacteria,Myxococcota,Polyangia,mle1-27,NA,NA,NA
asv2219,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
asv2221,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
asv2222,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
asv2224,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC AAA164-E04,NA
asv2225,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
asv2226,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,NA,NA
asv2227,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
asv2228,Bacteria,NA,NA,NA,NA,NA,NA
asv2229,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
asv2230,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
asv2231,Archaea,Halobacterota,Halobacteria,Halobacterales,Halococcaceae,Halococcus,NA
asv2232,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,koreensis
asv2233,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,NA,NA
asv2234,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,NA,NA
asv2235,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
asv2236,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,NA,NA
asv2238,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,thiooxidans
asv2239,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA
asv2241,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,NA,NA
asv2242,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
asv2243,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,NA
asv2244,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
asv2245,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
asv2246,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Enteractinococcus,NA
asv2247,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv2249,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
asv2250,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Henriciella,marina
asv2252,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
asv2253,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,NA
asv2254,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
asv2255,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
asv2256,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,NA,NA,NA
asv2257,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
asv2258,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
asv2259,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
asv2260,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Cavicella,NA
asv2261,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
asv2262,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,NA
asv2263,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,NA
asv2264,Bacteria,MBNT15,NA,NA,NA,NA,NA
asv2265,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
asv2267,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
asv2268,Bacteria,Patescibacteria,Gracilibacteria,Candidatus Peribacteria,NA,NA,NA
asv2269,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
asv2271,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
asv2272,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
asv2275,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
asv2278,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
asv2279,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,NA
asv2281,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
asv2282,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
asv2283,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA
asv2285,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Craurococcus-Caldovatus,NA
asv2286,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,NA
asv2287,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,NA
asv2288,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
asv2289,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
asv2291,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Jejudonia,NA
asv2292,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
asv2293,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
asv2294,Bacteria,Actinobacteriota,Actinobacteria,PeM15,NA,NA,NA
asv2295,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
asv2296,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv2297,Bacteria,Patescibacteria,Parcubacteria,NA,NA,NA,NA
asv2298,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,NA
asv2299,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
asv2300,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv2301,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
asv2302,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,NA
asv2303,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,NA
asv2304,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,NA
asv2305,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
asv2306,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
asv2307,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
asv2310,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,NA
asv2311,Bacteria,NA,NA,NA,NA,NA,NA
asv2312,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,NA,NA
asv2313,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA
asv2315,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,NA
asv2316,Bacteria,Patescibacteria,Gracilibacteria,NA,NA,NA,NA
asv2317,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,NA
asv2318,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,NA
asv2319,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
asv2320,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
asv2321,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,NA
asv2322,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
asv2323,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
asv2324,Bacteria,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,NA,NA,NA
asv2325,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
asv2326,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
asv2327,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,NA
asv2328,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv2329,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
asv2331,Bacteria,Patescibacteria,ABY1,Candidatus Uhrbacteria,NA,NA,NA
asv2332,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,NA
asv2333,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
asv2336,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,NA
asv2337,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,NA
asv2338,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus Fritschea,NA
asv2339,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Pseudarcobacter,NA
asv2340,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,NA
asv2341,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA,NA
asv2342,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
asv2343,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
asv2345,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,NA
asv2346,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Chlamydiaceae,NA,NA
asv2347,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,NA
asv2349,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
asv2350,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aurantimonas,NA
asv2352,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
asv2353,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv2355,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,NA
asv2356,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA
asv2357,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
asv2359,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,NA
asv2360,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
asv2361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv2362,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA
asv2363,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
asv2364,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,NA
asv2365,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rubritepida,NA
asv2367,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,kunmingense
asv2368,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,cynarae
asv2369,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
asv2370,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Parvularcula,oceani
asv2371,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
asv2373,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,NA,NA,NA
asv2375,Bacteria,Myxococcota,Polyangia,Blfdi19,NA,NA,NA
asv2376,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
asv2377,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,maltophilia
asv2378,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
asv2379,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA
asv2380,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
asv2381,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,NA
asv2382,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Candidatus Accumulibacter,NA
asv2383,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA
asv2384,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,NA
asv2385,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
asv2386,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,NA
asv2388,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,NA
asv2389,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv2390,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Rurimicrobium,NA
asv2391,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv2392,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
asv2393,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
asv2394,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
asv2397,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,NA
asv2400,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,LiUU-11-161,NA,NA
asv2401,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
asv2402,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
asv2403,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,NA
asv2404,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira,NA
asv2405,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechlorosoma,NA
asv2406,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
asv2407,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
asv2408,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,NA
asv2409,Bacteria,MBNT15,NA,NA,NA,NA,NA
asv2410,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,NA
asv2411,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,NA
asv2412,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
asv2413,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,NA
asv2415,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola,NA
asv2417,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
asv2419,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivivens,donghaensis
asv2420,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Fodinicurvataceae,NA,NA
asv2421,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,NA,NA,NA
asv2422,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,NA
asv2423,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,NA
asv2425,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,NA
asv2426,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,NA
asv2427,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
asv2428,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Jeotgalicoccus,schoeneichii
asv2429,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv2430,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,NA,NA
asv2431,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,NA
asv2432,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
asv2433,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA
asv2434,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,NA
asv2435,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA
asv2436,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
asv2437,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,fermentans
asv2439,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae1,Alcanivorax,NA
asv2440,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA
asv2441,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC AAA164-E04,NA
asv2443,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,NA,NA
asv2444,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,NA
asv2445,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
asv2446,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,NA,NA,NA
asv2447,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,NA
asv2448,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,NA
asv2449,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,defectiva
asv2450,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA
asv2451,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
asv2452,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter,NA
asv2453,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
asv2454,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,NA
asv2455,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
asv2457,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
asv2458,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,NA
asv2459,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,NA
asv2460,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
asv2461,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
asv2463,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
